id,variations_types,stocks,size
IT011098,[],0,0
IT013826,[],0,0
IT007052,[],0,0
IT007138,[],0,0
IT007140,[],0,0
IT011081,[],0,0
IT015629,[],0,0
IT010854,[],0,0
IT004210,[],0,0
IT000324,[],0,0
IT016049,[],0,0
IT007039,[],0,0
IT012626,[],0,0
IT000325,[],0,0
IT014468,[],0,0
IT011078,[],0,0
IT014469,[],0,0
IT016209,[],0,0
IT012627,[],0,0
IT010821,[],0,0
IT004651,[],0,0
IT012958,[],0,0
IT012959,[],0,0
IT012960,[],0,0
IT012961,[],0,0
IT001466,[],0,0
IT014772,[],0,0
IT000348,[],0,0
IT014771,[],0,0
IT001471,[],0,0
IT006689,[],0,0
IT006690,[],0,0
IT000299,[],0,0
IT003020,[],0,0
IT000300,[],0,0
IT013387,[],0,0
IT012616,[],0,0
IT013154,[],0,0
IT013548,[],0,0
IT012910,[],0,0
IT012909,[],0,0
IT013156,[],0,0
IT010907,[],0,0
IT012908,[],0,0
IT015459,[],0,0
IT012615,[],0,0
IT013155,[],0,0
IT012866,[],0,0
IT013735,[],0,0
IT000003,[],0,0
IT010984,[],0,0
IT000243,[],0,0
IT011132,[],0,0
IT004859,[],0,0
IT000129,[],0,0
IT007365,[],0,0
IT005059,[],0,0
IT007537,[],0,0
IT005506,[],0,0
IT005656,[],0,0
IT005657,[],0,0
IT000224,[],0,0
IT000242,[],0,0
IT005658,[],0,0
IT010000,[],0,0
IT005814,[],0,0
IT000223,[],0,0
IT015499,[],0,0
IT000237,[],0,0
IT010001,[],0,0
IT000230,[],0,0
IT004671,[],0,0
IT011045,[],0,0
IT012078,[],0,0
IT012939,[],0,0
IT012940,[],0,0
IT014241,[],0,0
IT014242,[],0,0
IT014240,[],0,0
IT014244,[],0,0
IT000236,[],0,0
IT000227,[],0,0
IT005043,[],0,0
IT005661,[],0,0
IT006481,[],0,0
IT013605,[],0,0
IT013918,[],0,0
IT014464,[],0,0
IT016244,[],0,0
IT005732,[],0,0
IT014243,[],0,0
IT009999,[],0,0
IT000239,[],0,0
IT000241,[],0,0
IT000231,[],0,0
IT005659,[],0,0
IT011497,[],0,0
IT000228,[],0,0
IT011134,[],0,0
IT000225,[],0,0
IT012955,[],0,0
IT005663,[],0,0
IT015140,[],0,0
IT005660,[],0,0
IT005921,[],0,0
IT011133,[],0,0
IT015139,[],0,0
IT014245,[],0,0
IT011239,[],0,0
