id,original_price,sell_price,variations_types,in_stoke
104960,290,282,[],1
124870,155,151,[],1
124871,150,146,[],1
125546,498,481,[],1
127362,150,146,[],1
128596,446,435,[],1
137575,415,387,[],1
154902,220,214,[],1
161897,88,80,[],1
161898,18,18,[],1
161899,12,12,[],1
172917,109,101,[],1
175116,145,141,[],1
175257,15,15,[],1
176362,280,272,[],1
176364,275,268,[],1
1805255,50,50,[],0
180584,50,49,[],1
181597,215,205,[],1
181598,200,197,[],1
182914,180,178,[],1
189439,695,655,[],1
200952,270,259,[],1
201388,816,799,[],1
205215,1068,1039,[],1
205854,2364,2291,[],1
206702,78,77,[],1
208767,5436,5269,[],1
213239,19,19,[],1
213240,37,37,[],1
213243,22,22,[],1
213244,43,43,[],1
213245,10,10,[],1
213246,22,22,[],1
227173,250,249,[],0
228522,197,192,[],1
228523,197,192,[],1
228526,205,200,[],1
228528,85,85,[],0
228529,106,104,[],1
228899,380,371,[],1
229136,375,365,[],1
229771,59,59,[],1
241501,215,210,[],1
242667,210,204,[],1
242668,210,204,[],1
242671,26,26,[],1
242672,88,86,[],1
242673,25,25,[],1
244286,45,44,[],1
244815,505,490,[],1
244997,44,43,[],1
244999,520,504,[],1
245001,50,49,[],1
245504,500,484,[],1
245509,75,73,[],1
247986,92,90,[],1
249162,7350,7018,[],1
249163,235,229,[],1
255178,135,132,[],1
255185,390,379,[],1
257399,25,25,[],1
257406,25,25,[],1
257407,25,25,[],1
258585,380,371,[],1
258594,140,136,[],1
259985,30,30,[],1
262712,140,136,[],1
263164,70,70,[],1
264230,40,40,[],0
264233,35,35,[],1
264235,35,35,[],1
264237,35,35,[],1
264427,30,30,[],1
264432,30,30,[],0
264520,230,224,[],1
264679,105,102,[],1
266065,203,200,[],1
266070,128,127,[],1
266467,399,388,[],1
269370,250,243,[],1
270620,80,78,[],1
270621,320,311,[],1
274423,945,916,[],1
274500,35,35,[],1
274920,145,141,[],1
275290,210,204,[],1
275574,5,5,[],1
277877,497,483,[],1
277878,60,59,[],1
279027,79,79,[],0
279031,169,168,[],0
279033,169,168,[],0
279581,8400,8316,[],1
279587,350,340,[],1
279588,78,77,[],1
281373,315,306,[],1
281536,61,60,[],1
281872,30,30,[],1
290829,97,95,[],1
291946,85,83,[],1
292062,35,35,[],0
292064,65,64,[],1
292401,106,104,[],1
292619,700,679,[],1
292620,70,69,[],1
294642,60,58,[],1
295501,235,229,[],1
298976,245,236,[],1
299025,160,156,[],1
299031,650,632,[],1
302075,200,194,[],1
302077,230,224,[],1
302078,260,250,[],1
