id,original_price,sell_price,variations_types,stocks
411258,63,58,[],75
411266,53,48,[],26
411814,219,202,[],0
412413,48,44,[],995
412414,25,23,[],498
412415,48,41,[],616
413618,200,184,[],0
413762,200,140,[],0
413784,200,140,[],1195
414129,93,75,[],193
414130,68,63,[],125
414135,68,62,[],146
414139,70,69,[],0
414420,40,37,[],119
414686,45,44,[],27
416255,40,37,[],0
416270,40,37,[],0
416282,40,37,[],0
416316,25,24,[],137
416317,20,19,[],0
416624,39,38,[],33
416625,42,39,[],132
416631,44,41,[],0
416633,33,31,[],155
417507,70,68,[],0
417683,38,33,[],60
417689,30,26,[],155
417691,35,30,[],0
417692,50,43,[],37
417695,19,17,[],41
417696,25,22,[],33
417709,16,14,[],0
418990,70,35,[],46
420447,199,80,[],0
420449,249,175,[],112
422489,65,60,[],88
422491,72,67,[],80
422492,78,72,[],70
422493,67,62,[],104
