id,original_price,sell_price,variations_types,in_stoke
SDCFXPS-032G-X46,7000,4882,[],1
SDCFXPS-064G-X46,12000,8204,[],1
SDCFXPS-128G-X46,21000,14244,[],1
SDCFXPS-256G-X46,42000,28338,[],1
SDCFXSB-032G-G46,4500,3171,[],1
SDCFXSB-064G-G46,6800,4682,[],1
SDCFXSB-128G-G46,12800,8747,[],1
SDCZ48-016G-I35,550,455,[],0
SDCZ48-064G-I35,1300,939,[],1
SDCZ48-128G-I35,2500,1654,[],1
SDCZ48-256G-U46,5600,3386,[],0
SDCZ50-016G-I35,450,410,[],0
SDCZ50-032G-I35,650,503,[],0
SDCZ50-064G-I35,1100,825,[],1
SDCZ50-128G-I35,2200,1413,[],1
SDCZ71-016G-I35,500,446,[],1
SDCZ71-032G-I35,700,547,[],1
SDCZ73-032G-I35,800,616,[],1
SDCZ73-064G-I35,1350,972,[],1
SDCZ73-128G-I35,2650,1692,[],1
SDCZ73-256G-I35,5250,3110,[],1
SDDD3-016G-I35,675,578,[],0
SDDD3-032G-I35,850,671,[],1
SDDD3-064G-I35,1400,1027,[],1
SDDD3-128G-I35,2650,1666,[],0
SDDD3-256G-G46,5200,3357,[],1
SDDDC3-032G-I35,1050,807,[],1
SDDDC3-064G-I35,1600,1120,[],1
SDDDC3-128G-I35,2800,1839,[],1
SDDDC3-256G-I35,5500,3186,[],1
SDDDC4-032G-I35,1300,948,[],1
SDDDC4-064G-I35,1900,1297,[],1
SDDDC4-128G-I35,3000,1941,[],1
SDDDC4-1T00-I35,23000,13277,[],1
SDDDC4-256G-I35,5700,3162,[],1
SDDDC4-512G-I35,11500,6424,[],1
SDIX30N-032G-PN6NN,4400,2972,[],0
SDIX30N-064G-PN6NN,5600,3683,[],0
SDIX40N-032G-GN6NN,3888,2941,[],1
SDIX40N-064G-GN6NN,4449,3422,[],0
SDIX40N-128G-GN6NN,5928,4525,[],0
SDIX60N-128G-GN6NE,7500,5037,[],1
SDIX60N-256G-GN6NE,12000,8164,[],1
SDSDQM-016G-B35,425,382,[],0
SDSDQM-032G-B35,600,497,[],1
SDSDUNB-016G-GN3IN,550,511,[],1
SDSDUNB-032G-GN3IN,750,683,[],1
SDSDUNB-064G-GN3IN,1400,1134,[],1
SDSDUNR-032G-GN6IN,825,647,[],1
SDSDUNR-064G-GN6IN,1600,1173,[],1
SDSDUNR-128G-GN6IN,3100,2027,[],1
SDSDXPK-032G-GN4IN,7750,5804,[],1
SDSDXPK-064G-GN4IN,15000,10605,[],1
SDSDXPK-128G-GN4IN,30000,23909,[],1
SDSDXV5-128G-GNCIN,5250,2783,[],1
SDSDXV5-256G-GNCIN,10500,5340,[],1
SDSDXV6-064G-GNCIN,2575,1475,[],1
SDSDXXG-032G-GN4IN,1625,1205,[],1
SDSDXXY-064G-GN4IN,3350,2049,[],1
SDSDXXY-128G-GN4IN,6790,3946,[],1
SDSDXXY-1T00-GN4IN,55000,42897,[],1
SDSDXXY-256G-GN4IN,13450,7818,[],1
SDSDXXY-512G-GN4IN,32500,18426,[],1
SDSQQNR-128G-GN6MA,3400,2467,[],0
SDSQUAR-016G-GN6MN,500,422,[],1
SDSQUAR-032G-GN6MN,700,574,[],1
SDSQUAR-064G-GN6MN,1300,918,[],1
SDSQUAR-128G-GN6MN,2500,1599,[],1
SDSQUAR-256G-GN6MN,6750,3791,[],1
SDSQUAR-400G-GN6MN,10500,6004,[],0
SDSQXA1-128G-GN6MN,3750,2373,[],1
SDSQXA1-1T00-GN6MN,72000,31280,[],1
SDSQXA1-256G-GN6MN,8000,5146,[],1
SDSQXA1-400G-GN6MN,13000,7739,[],1
SDSQXA1-512G-GN6MN,32000,11456,[],1
SDSQXA2-064G-GN6MN,2000,1390,[],1
