id,tags
410563,13170|13195|992|992
410564,13170|13195|1933|1933
410569,13170|13193|952|5070
410571,13170|13195|994|994
410572,13170|13195|13309|13309
410574,13170|13195|13273|13273
410576,13170|13195|1925|1925
410577,13170|13195|1916|1916
410583,13170|13195|4912|969
410585,13170|13195|971|971
410586,13244|13245|13400|13423|4845
410604,13244|13245|13400|13423|4845
410640,13244|13245|4928|4953
410641,13244|13245|4934|4953
410651,13150|13182|13664|13681
410652,13150|13182|13664|13682
410653,13150|13182|13664|13681
410711,13170|13194|950|889|4949|4951
410894,13927|4876|813|641
411152,13927|4876|5095|5113
411339,13438|13441|13455|13522
411340,13438|13440|13455|13649
411354,13438|13441|13493|13647
411355,13438|13441|13493|13651
411359,13438|13441|13493|13650
411360,13438|13441|13493|13522|13081
411457,13150|13541|13661|13541|13694
411462,13150|13537|13661|13670
411463,13150|13537|13661|13670|13673
411464,13150|13541|13661|13541
411465,13150|13541|13661|13541|13693
411466,13150|13537|13661|13671
411467,13150|13537|13661|13671
411468,13150|13537|13661|13671
411469,13150|13537|13661|13671
411558,13150|13152|4917|4985
411566,13150|13152|4917|4986
411567,13150|13152|4917|4986
411950,13927|4906|4885|4992
412118,13150|13152|4943|4984
412119,13150|13152|4943|4984
412253,13881|13882|13889|13891|13892|13896|21479
412254,13881|13882|13889|13891|13892|13893
412256,13881|13882|13889|13891|13892|13897
412347,13244|13245|4864|13423
412583,13150|13536|13579|13514
412603,13150|13537|13214|13671
412605,13150|13537|13214|13671
412733,13927|4876|744|641
412746,13438|13441|13492|13646
412853,13438|13444|13638|13515|13516
412854,13438|13444|13638|13515|13516
412855,13438|13444|13472|13515|13516
412856,13438|13444|13638|13515|13516
412859,13438|13444|13472|13515|13516|13514
412860,13438|13444|13472|13515|13516|13514
412861,13438|13444|13472|13515|13516
412863,13438|13444|13472|13515|13516
412865,13438|13444|13472|13515|13516
412869,13438|13444|13472|13515|13516|13514
412909,13438|13444|13472|13515|13516
412912,13438|13444|13472|13515|13516
412914,13438|13444|13472|13515|13516|13514
412916,13438|13444|13472|13515|13516
412933,13438|13444|13472|13515|13516|13436
412943,13438|13444|13472|13515|13516
412956,13150|13182|13717|13716
412958,13150|13182|13717|13716
412960,13150|13182|13717|13716|13144
412961,13150|13182|13717|13716|13144
412962,13150|13182|13717|13716
412963,13150|13182|13717|13716|13144
412964,13150|13182|13717|13716
412965,13150|13182|13717|13716|13144
413148,13695|13700|812|676|5033
413149,13695|13700|812|676|5033
413385,13150|13537|13238|13671
413399,13881|13882|13887|13891|13892|13896
413400,13881|13882|13887|13891|13892|13893
413401,13881|13882|13887|13891|13892|13897
413402,13881|13882|13887|13891|13892|13895
413598,13170|13196|11079|5028
413618,13170|13195|13625|13628
413625,13150|13541|13625|13541|13685
413629,13150|13541|13625|13541|13687
413632,13150|13541|13625|13541|13686
413940,13150|13538|13207|13674|13675
413946,13150|13541|13207|13541
413961,13438|13442|13456|13518
414021,13244|13245|13371|13426
414129,13170|13195|13240|13628
414130,13170|13195|13240|13628
414135,13170|13195|13240|13628
414332,13150|13152|4923|5397
414446,13150|13152|4920|5398
414599,13244|13245|4843|13423|4845
414600,13244|13245|4843|13423|4845
414992,13170|13196|11079|921|5028
415107,13150|13534|13406|13534|13368
415139,13150|13152|4917|5399
415141,13150|13152|4917|13875
415171,13927|4876|748|641
415173,13438|13444|13472|13515|13516
415175,13438|13444|13638|13515|13516
415247,13150|13534|13579|13534|13368
415248,13150|13534|13579|13534|13368
415260,13244|13245|4863|4846|4867
