id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations,size,,
263164,49,263164.jpg,"Amul Lassi Tetra Pack, 1L (Rose Flavour))","[""263164.jpg"",""263164-1.jpg"",""263164-2.jpg"",""263164-3.jpg"",""263164-4.jpg"",]",70,70,0,1,3,32,0,0,0,0,0,0,0,0,1,1,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">It is an easy to use delicious drink that refreshes you immediately with goodness of nature</span></li>
 	<li><span class=""a-list-item"">To be taken directly on move small pack or at home, parties, picnics family pack tastes best when chilled</span></li>
 	<li><span class=""a-list-item"">Amul lassi chill kar lassi pi</span></li>
 	<li><span class=""a-list-item"">Refreshing delicious cool drink</span></li>
 	<li><span class=""a-list-item"">Country of Origin: India</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
345121,49,345121.jpg,"Amul Lassi Tetra Pack, 250 ml (Rose Flavour))","[""345121.jpg"",""345121-1.jpg"",""345121-2.jpg"",""345121-3.jpg"",""345121-4.jpg"",]",20,20,0,1,3,32,0,0,0,0,0,0,0,0,0,0,1,250,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">It is an easy to use delicious drink that refreshes you immediately with goodness of nature</span></li>
 	<li><span class=""a-list-item"">To be taken directly on move small pack or at home, parties, picnics family pack tastes best when chilled</span></li>
 	<li><span class=""a-list-item"">Amul lassi chill kar lassi pi</span></li>
 	<li><span class=""a-list-item"">Refreshing delicious cool drink</span></li>
 	<li><span class=""a-list-item"">Country of Origin: India</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
175257,49,175257.jpg,"Amul Lassi, 200ml Tetra Pack","[""175257.jpg"",""175257-1.jpg"",""175257-2.jpg"",""175257-3.jpg"",""175257-4.jpg"",]",15,15,0,1,3,32,0,0,0,0,0,0,0,0,0,0,1,1,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">It is an easy to use delicious drink that refreshes you immediately with goodness of nature</span></li>
 	<li><span class=""a-list-item"">To be taken directly on move small pack or at home, parties, picnics family pack tastes best when chilled</span></li>
 	<li><span class=""a-list-item"">Amul lassi chill kar lassi pi</span></li>
 	<li><span class=""a-list-item"">Refreshing delicious cool drink</span></li>
 	<li><span class=""a-list-item"">Country of Origin: India</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
275574,49,275574.jpg,Britannia Tiffin Cakes Chunk Cake 25g,"[""275574.jpg"",""275574-1.jpg"",""275574-2.jpg"",""275574-3.jpg"",""275574-4.jpg"",]",5,5,0,1,3,30,0,0,1,25,0,0,0,0,0,0,0,0,Yummy chunks of cake infused with the goodness of milk and egg and filled with surprising fruit bits.,,,,0,1,0,0,1,0,,0,0,
104582,49,104582.jpg,Amul Prossd Cheese Block 1 kg,"[""104582.jpg"",""104582-1.jpg"",""104582-2.jpg"",""104582-3.jpg"",""104582-4.jpg"",]",453,453,0,1,3,32,0,0,0,0,1,1,0,0,0,0,0,0,Amul Prossd Cheese Block 1 kg,,,,0,1,0,0,1,0,,0,0,
104607,49,104607.jpg,"Amul Processed Cheese EOE Tin, 400g","[""104607.jpg"",""104607-1.jpg"",""104607-2.jpg"",""104607-3.jpg"",""104607-4.jpg"",]",204,204,0,1,3,32,0,0,1,400,0,0,0,0,0,0,0,0,Product of Amul,,,,0,1,0,0,1,0,,0,0,
104615,49,104615.jpg,"Amul Cheese Easy - Open Chiplet, 200g","[""104615.jpg"",""104615-1.jpg"",""104615-2.jpg"",""104615-3.jpg"",""104615-4.jpg"",]",114,114,0,1,3,32,0,0,1,200,0,0,0,0,0,0,0,0,Amul Cheese - Cubes,,,,0,1,0,0,1,0,,0,0,
104617,49,104617.jpg,"Amul Pizza Cheese - Mozzarella Block, 1 kg Pouch","[""104617.jpg"",""104617-1.jpg"",""104617-2.jpg"",""104617-3.jpg"",""104617-4.jpg"",]",431,431,0,1,3,32,0,0,0,0,1,1,0,0,0,0,0,0,"Amul is a reputed name, especially when it comes to dairy products. Its products are manufactured under the most stringent quality controlled processes that ensure a dose of health on your table. Accordingly, Amuls Mozarella Pizza Cheese has been fashioned with the best ingredients and processed for a tasty treat.",,,,0,1,0,0,1,0,,0,0,
104726,49,104726.jpg,"Amul Fresh Cream, 1L","[""104726.jpg"",""104726-1.jpg"",""104726-2.jpg"",""104726-3.jpg"",""104726-4.jpg"",]",197,197,0,1,3,32,0,0,0,0,0,0,0,0,1,1,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Made of fresh and pure milk cream</span></li>
 	<li><span class=""a-list-item"">No preservative added</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
104759,49,104759.jpg,"Amul Cheese - 5 Slices, 100g","[""104759.jpg"",""104759-1.jpg"",""104759-2.jpg"",""104759-3.jpg"",""104759-4.jpg"",]",71,71,0,1,3,32,0,0,1,100,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">It is a popular cheese for snacking on its own as chiplets and slices</span></li>
 	<li><span class=""a-list-item"">Good source of Calcium and milk Proteins</span></li>
 	<li><span class=""a-list-item"">Processed cheese can be added to omelettes, pizza, souffles, au gratins, fondues</span></li>
 	<li><span class=""a-list-item"">The Cheese makes a delightful pairing with fruits such as apples, pears and melons</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
104808,49,104808.jpg,"Amul Cheese - Processed Slices, 200g Pouch","[""104808.jpg"",""104808-1.jpg"",""104808-2.jpg"",""104808-3.jpg"",""104808-4.jpg"",]",122,122,0,1,3,32,0,0,1,200,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Cheese has a creamy texture, which enhances the taste of the dish it is added to</span></li>
 	<li><span class=""a-list-item"">Spread your cheese on a piece of bread for a healthy yet yummy breakfast</span></li>
 	<li><span class=""a-list-item"">No added preservatives</span></li>
 	<li><span class=""a-list-item"">No added artificial flavours</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
104821,49,104821.jpg,"Amul Cheese - Pepper, 200g Pack","[""104821.jpg"",""104821-1.jpg"",""104821-2.jpg"",""104821-3.jpg"",""104821-4.jpg"",]",85,85,0,1,3,32,0,0,1,200,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Cheese spread</span></li>
 	<li><span class=""a-list-item"">Best for breakfast</span></li>
 	<li><span class=""a-list-item"">Punchy pepper flavour</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
104823,49,104823.jpg,"Amul Cheese Spread Yummy Plain, 200g","[""104823.jpg"",""104823-1.jpg"",""104823-2.jpg"",""104823-3.jpg"",""104823-4.jpg"",]",85,85,0,1,3,32,0,0,1,200,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Cheese spread</span></li>
 	<li><span class=""a-list-item"">Best for breakfast</span></li>
 	<li><span class=""a-list-item"">Punchy pepper flavour</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
