id,tax_class
BG-31149,12
BG-31150,12
BG-31151,12
BG-31153,12
BG-31154,12
BG-31157,12
BG-31158,12
BG-31159,12
BG-31161,12
BG-31162,12
BG-31165,12
BG-31166,12
BG-31167,12
BG-31168,12
BG-31170,12
BG-31171,12
BG-31172,12
BG-31173,12
BG-31247,12
BG-31248,12
BG-31249,12
BG-31250,12
BG-31251,12
BG-31253,12
BG-31254,12
BG-31260,12
BG-31262,12
BG-31263,12
BG-31264,12
BG-31266,12
BG-31269,12
BG-31272,12
BG-31277,12
BG-3200,12
BG-34102,12
BG-5028,12
BG-6328,12
BG-6331,12
BG-6334,12
BG-6347,12
BG-6349,12
BG-7099,12
BG-9947,12
BG-9948,12
BG-9949,12
BG-9955,12
BG-9956,12
BG-9958,12
BG-9959,12
BG-9960,12
BG1024/16,18
BG3006,18
BHB862,18
BHC017,18
BHD006,18
BHH811,18
BHH880,18
BHS384,18
BHS386,18
BLC001M,18
BN-003,18
BN-004,18
BN-006,18
BN-009,18
BN-026,18
BN-033,18
BQ6340,18
BRE235,18
BRE245,18
BT1210/15,18
BT1215/15,18
BT2505A,18
BT3102,18
BT3105,18
BT3203/85,18
BT3215/15,18
BT3901A,18
BT3901B,18
BT51B,18
BT60BK,18
BT6620,18
BT7501,18
BTF-001,18
BTF-002,18
BTF-003,18
BTF-004,18
BTF-005,18
BTF-006,18
BTF-007,18
BTF-008,18
BTF-009,18
BTF-010,18
BTF-011,18
BTF-012,18
BTF-013,18
BTF-014,18
BTF-015,18
BTF-016,18
BTF-017,18
BTF-018,18
BTF-019,18
BTF-020,18
BTF-021,18
BTF-022,18
BTF-023,18
BTF-024,18
BTF-025,18
BTF-026,18
BTF-027,18
BTF-028,18
BTF-029,18
BTF-030,18
BTF-031,18
BTF-032,18
BTF-033,18
BTF-034,18
BTF-035,18
BUR001,18
BUR001W,18
BUR002,18
BUR002W,18
BUR003,18
BUR003W,18
BUR004,18
BUR004W,18
BUR005,18
BUR005M,18
BUR006,18
BUR006W,18
BUR007,18
BUR007M,18
BUR008,18
BUR008M,18
BUR009,18
BUR009W,18
BUR010,18
BUR010M,18
BUR011M,18
BUR012W,18
BUR013M,18
BUR014W,18
BUR015W,18
BUR016M,18
BUR017W,18
BUR018M,18
BUR019W,18
BVL001,18
BVL001S,18
BVL002,18
BVL002M,18
BVL003,18
BVL003M,18
BVL004,18
BVL004W,18
BVL005,18
BVL005M,18
BVL006,18
BVL006M,18
BVL007W,18
BZ-R6,18
CAC001W,18
CAD001,18
CAD002,18
CAD005,18
CAL001,18
CAL001M,18
CAL002,18
CAL002M,18
CAL003,18
CAL003M,18
CAL004,18
CAL004M,18
CAL005,18
CAL005W,18
CAL006,18
CAL006M,18
CAL007,18
CAL007M,18
CAL008,18
CAL008M,18
CAL009M,18
CAL010W,18
CAR001,18
CAR001M,18
CAR001W,18
CAR002,18
CAR002M,18
CAR003,18
CAR003W,18
CAR004,18
CAR004M,18
CAR005,18
CAR005W,18
CAR006,18
CAR006M,18
CAR007W,18
CAR008W,18
CAR010M,18
CART001M,18
CART002U,18
CART003M,18
CBASB,12
CB_AIR_POP,18
CB_EPIC_LITE,18
CB_IGNITE_PRO,18
CB_IGNITE_S4,18
CB_OBSEB,18
CB_ORBIT_X,18
CCI-1,18
CD3041,5
CD3042,5
CE7 (0) 09 003,18
CE7 (0) 09 004,18
CE8091,12
CG1533,18
CHL001W,18
CHL002W,18
CHL003W,18
CHTO1,18
CHTO10,18
CHTO12,18
CHTO13,12
CHTO14,12
CHTO15,12
CHTO16,12
CHTO17,12
CHTO18,12
CHTO19,18
CHTO2,18
CHTO20,18
CHTO21,18
CHTO4,18
CHTO5,18
CHTO6,12
CHTO7,18
CHTO8,18
CHTO9,18
CK001S,18
CK002S,18
CK003W,18
CK004W,18
CK005M,18
CK006W,18
CK007S,18
CK008S,18
CLI001M,18
CLI002W,18
CX150BT-WT,18
CX180,18
CX3RED,18
CX80S,18
CY6067B-A,18
CY6240,18
DA1 (0) 00 005,18
DA8 (0) 08 001,18
DA8 (0) 08 002,18
DA8 (0) 08 004,18
DAV001,18
DAV001M,18
DAV002,18
DAV002W,18
DAV003,18
DAV003M,18
DAV004,18
DAV004W,18
DAV005,18
DAV005M,18
DAV006,18
DAV006M,18
DAV007,18
DAV007W,18
DAV008,18
DAV008M,18
DAV009M,18
DAV010M,18
DAV011M,18
DAV012M,18
DAV013M,18
DAV014M,18
DAV015M,18
DAV016M,18
DAV017W,18
DAV018M,18
DAV019M,18
DH34,12
DH9 (0) 00 001,18
DI1 (0) 09 001,18
DI1 (0) 09 002,18
DI1 (0) 09 004,18
DI1 (0) 09 005,18
DIB098G50I,18
DIG098G50I,18
DIR001M,18
DK6 (0) 09 002,18
DK6 (0) 16 001,18
DK6 (0) 16 002,18
DK6 (0) 16 003,18
DK9 (0) 09 001,18
DLC2508B,18
DLC2508F,18
DLC2508G,18
DLC2518B,18
DLC2528N,18
DLP1710,18
DLP1710CB/97,18
DLP1720,18
DLP6006,18
DLP6006B,18
DLP6006N,18
DLP8006U,18
DM1 (2) 71 001,18
DM1 (2) 78 001,18
DM2 (0) 00 002,18
DM2 (0) 00 003,18
DM2 (0) 01 003,18
DM2 (0) 09 001,18
DM3 (0) 00 001,18
DM3 (0) 08 003,18
DM4 (0) 29 001,18
DM4 (0) 78 001,18
DM4 (0) 80 001,18
DM7787,18
DN3093-L,5
DN3093-M,5
DN3093-S,5
DN3093-XL,5
DN3093-XXL,5
DOL001,18
DOL001W,18
DOL002M,18
DOL003,18
DOL003M,18
DOL004,18
DOL006,18
DT5 (0) 00 001,18
DT5 (0) 01 001,18
DU8 (0) 04 001,18
DU8 (0) 25 001,18
DUN001S,18
DUN002M,18
DUN003M,18
DUN004M,18
DUN005M,18
DUN006M,18
DUN007M,18
DUN008M,18
DV5 (0) 09 003,18
DV5 (0) 41 003,18
DWB068D50I,18
DWB068G50I,18
DWB068G60I,18
DWB098D50I,18
DWB098G50I,18
DWB098G60I,18
DWB65BC50I,18
DWB95BC50I,18
DWB97FM50I,18
DWG068D50I,18
DWG068D60I,18
DWG098D50I,18
DWG098D60I,18
DWH068D60I,18
DWH098D60I,18
DWK065G60I,18
DWK068G60I,18
DWK098G60I,18
DX7 (0) 09 001,18
DY2 (0) 78 001,18
ECO-1,12
ECO-2,12
ELI001,18
ELI001W,18
ELI002,18
ELI002W,18
ELI003,18
ELI003W,18
ELI004,18
ELI004W,18
ELI005,18
ELI005W,18
ELI006S,18
ELI007S,18
ELI008W,18
EN-01,12
EST001W,18
EST002W,18
EST003M,18
EST004W,18
EST005W,18
EST006M,18
EST007W,18
EST008M,18
FB2 (0) 00 003,18
FB2 (0) 01 001,18
FB7 (0) 11 001,18
FB_BEAST,18
FB_BEAST_PRO,18
FB_BSW001,18
FB_INVINCIBLE,18
FB_NINJA_CALLING_2,18
FB_NINJA_PRO_ MAX,18
FB_RING_CALL,18
FC1 (0) 08 003,18
FC5 (0) 09 001,18
FC5 (0) 09 002,18
FC5 (0) 09 003,18
FC6 (1) 00 001,18
FC6 (1) 21 001,18
FC9352,18
FCU001W,18
FCVC,18
FD6 (0) 08 001,18
FD7 (0) 09 001,18
FDLX608,18
FER001,18
FER001M,18
FER002,18
FER002M,18
FER003M,18
FER004M,18
FER005M,18
FER006,18
FESCVC,18
FG6 (0) 09 001,18
FH0 (0) 05 001,18
FH0 (0) 06 001,18
FH0 (0) 96 001,18
FH3 (0) 01 001,18
FH3 (0) 08 001,18
FH7 (0) 09 001,18
FH7 (0) 09 002,18
FH7 (0) 09 003,18
FH7 (0) 41 001,18
FH7 (0) 41 002,18
FH7 (0) 41 003,18
FHCNISTBCU48,18
FHSSWSTOWH16,18
FHTSWLXCHR16,18
FI0 (0) 04 001,18
FI0 (0) 08 001,18
FJ2 (0) 00 101,18
FJ2 (0) 01 101,18
FJ4 (0) 61 001,18
FJ6 (0) 12 101,18
FK6 (0) 08 001,18
FK6 (0) 09 001,18
FLV,18
FNKCATPB3B90SDAG,18
FNKCATPB3BV01DAG,18
FNKCATPI3B12SDAG,18
FNKCATPI3B90SDAG,18
FNKCATPW3B90SDAG,18
FNKCATPW3BV01DAG,18
FNKCCOAB3B12ADAG,18
FNKCGLAB3B12SDAG,18
FNKCGLAB3B90SDAG,18
FNKCGLAB4B60SDAG,18
FNKCGLAI3B12SDAG,18
FNKCGLAI3B90SDAG,18
FNKCGLAW3B12SDAG,18
FNKCGLAW3B90SDAG,18
FNKCKLAB3D12SDST,18
FNKCSPAW3S12SDST,18
FNKEFREW5B20SDST,18
FNKEFREW5B25SDST,18
FNKEFREW5H20SDST,18
FNKEFREW6B15SDST,18
FNKEFREW6H15SDST,18
FNKEFRJW6H15SDST,18
FNKEFUMG3B30SDST,18
FNKEFUMG3H22SDST,18
FNKPARDL3H40SDST,18
FNKTTAVG3B40SDST,18
FNKTTAVL3H40SDST,18
FNKWSTIG3B40SDST,18
FNKWSTIL3H40SDST,18
FP8 (0) 09 001,18
FQ1 (0) 11 001,18
FQ1 (0) 11 002,18
FQ1 (0) 11 003,18
FQ1 (0) 58 001,18
FQ1 (0) 58 002,18
FQ1 (0) 58 003,18
FQCDX,18
FR6 (0) 01 001,18
FR6 (0) 01 002,18
FR6 (0) 09 001,18
FR6 (0) 09 002,18
FR6 (0) 09 003,18
FR6 (0) 20 001,18
