id,hsn_code
DM1 (2) 71 001,42021220
DM1 (2) 78 001,42021220
DM2 (0) 00 002,42021250
DM2 (0) 00 003,42021250
DM2 (0) 01 003,42021250
DM2 (0) 09 001,42021250
DM3 (0) 00 001,42021250
DM3 (0) 08 003,42021250
DM4 (0) 29 001,42021250
DM4 (0) 78 001,42021250
DM4 (0) 80 001,42021250
DM7787,42021250
DN3093-L,61052010
DN3093-M,61052010
DN3093-S,61052010
DN3093-XL,61052010
DN3093-XXL,61052010
DOL001,33030090
DOL001W,33030090
DOL002M,33030090
DOL003,33030090
DOL003M,33030090
DOL004,33030090
DOL006,33030090
DT5 (0) 00 001,42021250
DT5 (0) 01 001,42021250
DU8 (0) 04 001,42021250
DU8 (0) 25 001,42021250
DUN001S,33030090
DUN002M,33030090
DUN003M,33030090
DUN004M,33030090
DUN005M,33030090
DUN006M,33030090
DUN007M,33030090
DUN008M,33030090
DV5 (0) 09 003,42021250
DV5 (0) 41 003,42021250
DWB068D50I,84146000
DWB068G50I,84146000
DWB068G60I,84146000
DWB098D50I,84146000
DWB098G50I,84146000
DWB098G60I,84146000
DWB65BC50I,84146000
DWB95BC50I,84146000
DWB97FM50I,84146000
DWG068D50I,84146000
DWG068D60I,84146000
DWG098D50I,84146000
DWG098D60I,84146000
DWH068D60I,84146000
DWH098D60I,84146000
DWK065G60I,84146000
DWK068G60I,84146000
DWK098G60I,84146000
DX7 (0) 09 001,42021220
DY2 (0) 78 001,42021220
ECO-1,85131090
ECO-2,85131090
ELI001,33030090
ELI001W,33030090
ELI002,33030090
ELI002W,33030090
ELI003,33030090
ELI003W,33030090
ELI004,33030090
