id,original_price,sell_price,discount,variations_types,stocks,size
SB0001,62,57,9,500|1000|2000|3000|4000|5000,0,1
SB0002,39,36,8,500|1000|2000|3000|4000|5000,100,1
SB0004,174,159,9,500|1000|2000|3000|4000|5000,0,1
SB0005,76,70,8,500|1000|2000|3000|4000|5000,100,1
SB0006,154,141,9,500|1000|2000|3000|4000|5000,0,1
SB0007,69,63,9,500|1000|2000|3000|4000|5000,0,1
SB0008,43,40,7,500|1000|2000|3000|4000|5000,100,1
SB0009,242,221,9,100|200|300|400|500|600|700|800|900|1000,100,1
SB0010,391,356,9,500|1000|2000|3000|4000|5000,0,1
SB0011,42,39,8,500|1000|2000|3000|4000|5000,100,1
SB0012,138,126,9,500|1000|2000|3000|4000|5000,100,1
SB0013,93,85,9,500|1000|2000|3000|4000|5000,0,1
SB0014,109,100,9,500|1000|2000|3000|4000|5000,100,1
SB0015,58,53,9,500|1000|2000|3000|4000|5000,100,1
SB0016,183,167,9,500|1000|2000|3000|4000|5000,0,1
SB0017,127,116,9,500|1000|2000|3000|4000|5000,100,1
SB0018,88,81,8,500|1000|2000|3000|4000|5000,0,1
SB0019,120,110,9,500|1000|2000|3000|4000|5000,100,1
SB0020,84,77,9,500|1000|2000|3000|4000|5000,0,1
SB0021,124,113,9,500|1000|2000|3000|4000|5000,100,1
SB0022,81,74,9,500|1000|2000|3000|4000|5000,100,1
SB0023,160,146,9,500|1000|2000|3000|4000|5000,100,1
SB0024,131,120,9,500|1000|2000|3000|4000|5000,0,1
SB0026,143,131,9,500|1000|2000|3000|4000|5000,0,1
SB0027,196,179,9,500|1000|2000|3000|4000|5000,0,1
SB0028,127,116,9,500|1000|2000|3000|4000|5000,100,1
SB0029,120,110,9,500|1000|2000|3000|4000|5000,100,1
SB0030,109,100,9,500|1000|2000|3000|4000|5000,100,1
SB0031,35,32,9,500|1000|2000|3000|4000|5000,100,1
SB0032,120,110,9,500|1000|2000|3000|4000|5000,100,1
SB0033,38,35,8,500|1000|2000|3000|4000|5000,100,1
SB0034,142,130,9,500|1000|2000|3000|4000|5000,100,1
SB0035,4778,4348,9,500|1000|2000|3000|4000|5000,100,1
SB0003,39,36,8,500|1000|2000|3000|4000|5000,100,1
SB0025,42,39,8,500|1000|2000|3000|4000|5000,0,1
SB0036,121,111,9,500|1000|2000|3000|4000|5000,0,1
SB0071,43,40,7,1000|2000|3000|4000|5000,100,1
SB0072,85,78,9,1000|2000|3000|4000|5000,100,1
SB0073,268,244,9,500|1000|2000|3000|4000,0,1
