id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
418718,49,418718.jpeg,Mr Makhana Cheezy Peezy 25G,"[""418718.jpeg""]",40,37,8,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5747|5780,0,1025
424284,49,424284.jpeg,Mr Makhana Himalayan Salt & Pepper 75G,"[""424284.jpeg""]",120,110,9,1,5,43,1,1,1,75,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5747|5781,0,1025
419719,49,419719.jpeg,Mr Makhana Pickle Tickle 25G,"[""419719.jpeg""]",40,37,8,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5747|5782,0,1025
416757,49,416757.jpeg,Naturals Bite Gulkand Shahi Paan 100G,"[""416757.jpeg""]",70,61,13,1,2,27,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13195|13667|5783,0,869
416754,49,416754.jpeg,Naturals Bite Hygienic Pani Puri Easy Make 200G,"[""416754.jpeg""]",110,101,9,1,2,27,1,1,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13195|13667|5784,0,869
416755,49,416755.jpeg,Naturals Bite Meetha Amla 100G,"[""416755.jpeg""]",65,44,33,1,2,27,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13195|13667|5785,0,869
416756,49,416756.jpeg,Naturals Bite Meethi Imli 100G,"[""416756.jpeg""]",60,52,14,1,2,27,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13195|13667|5786,0,869
416761,49,416761.jpeg,Naturals Bite Premium American Corn For Popcorn 250G,"[""416761.jpeg""]",95,82,14,1,5,43,1,1,1,250,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|13667|13630,0,869
416751,49,416751.jpeg,Naturals Bite Roasted Mahabaleshwar Channa 200G,"[""416751.jpeg""]",90,61,33,1,5,43,1,1,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|13667|5787,0,869
416750,49,416750.jpeg,Naturals Bite Roasted Yellow Channa 200G,"[""416750.jpeg""]",70,47,33,1,5,43,1,1,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|13667|5788,0,869
