id,name,kind
385091,Fine Life Coriander / Dhaniya Whole 500 g,1
385092,Fine Life Cumin / Jeera Powder 1 kg,1
385106,Fine Life Poppy Seeds / Khus Khus 100 g,1
385107,Fine Life Poppy Seeds (Khus Khus) 200 g,1
385109,Fine Life Nylon Sesame / Til Whole 100 g,1
385111,Fine Life Nylon Sesame / Til Whole 200 g,1
385117,Fine Life Sesame Seeds White 100 g,1
385118,Fine Life White Sesame / Til Whole 200 g,1
385121,Fine Life Byadagi Stemless Chilli / Mirchi Whole 200 g,1
385122,Fine Life Guntur Stemless Chilli / Mirchi Whole 200 g,1
385131,Fine Life Star Anise 50 g,1
385135,Fine Life Tamarind Cake 500 g,1
385137,Fine Life Water Melon Seeds / Magaz 1 kg,1
385138,Fine Life Water Melon Seeds / Magaz 200 g,1
385139,Fine Life Nutmeg / Jaiphal Whole 50 g,1
385151,Fine Life Carom / Ajwain Whole 100 g,1
385155,Fine Life Black Cardamom / Elaichi Whole 20 g,1
385158,Fine Life Black Pepper 200 g,1
385159,Fine Life Black Pepper 500 g,1
385160,Fine Life Sambar Powder 50 g,1
385161,Fine Life Black Pepper Powder 100 g,1
385171,Fine Life Chilli / Mirchi Flakes 200 g,1
385175,Fine Life Chilli Guntur 100 g,1
386159,Smith & Jones Ginger Garlic Paste 200 G,1
386273,"Real Thai Tom Yum Paste, 50 g",1
388496,Regency Taj Cinnamon / Dalchini Whole 100 g,1
388497,Regency Cinnamon / Dalchini Whole 50 g,1
388516,"Regency Siah Jeera, 100 g",1
388517,Regency Clove / Laung Whole 50 g,1
393338,Organic Tattwa garam Masala 100g,1
393350,Organic Tattwa Red Chilli Whole 100G,1
393351,Organic Tattwa Tamarind Whole 500g,1
394410,Suhana Pavbahjji Masala 50g,1
397472,Tata Sampan Turmeric Powder 100g,1
397473,Tata Sampan Chili Powder 50g,1
397475,Tata Sampan Chicken Masala 100g,1
397476,Tata Sampan Panjabi Chole Masala 100g,1
397477,Tata Sampan Paneer Masala 100g,1
397495,Tata Sampan Dal Tadaka Masala 100g,1
397501,Tata Sampan Coriander Powder 100g,1
397506,Tata Sampan Meat Masala 100g,1
400020,On1Y Pasta Seasoning 30 G,1
400021,"On1y Pizza Seasoning, 28g ( Unique 2-Way Flip Cap Sprinkler)",1
400022,Only Cinnamon Powder 45 G,1
400023,Only Cardamom Seed Powder 52 G,1
400024,Only Garlic Herb Bread Seasoning 48 G,1
400026,Only Black Pepper Powder 50 G,1
400027,Only Piri Piri Seasoning 52 G,1
400029,Only Mexican Seasoning 50 G,1
400030,Only Paprika Powder 52 G,1
401777,Fine Life Hing 100 g,1
401778,Fine Life Hing 50 g,1
402044,"KLF Coconad Low Fat Desiccated Coconut Powder, 500 g",1
402732,"Pro Nature 100% Organic Garam Masala, 100 g",1
402734,"24 Mantra Organic Sambar Powder, 100 g",1
402745,"Pro Nature 100% Organic Flax Seeds, 200 g",1
402748,"Pro Nature 100% Organic Coriander Powder, 100 g",1
404193,"Kohinoor Garam Masala E Khaas, 40g",1
404194,"Kohinoor Lazeez Sabzi Masala, 40g",1
404195,"Kohinoor Kashmiri Meat Masala, 15g",1
404196,"Kohinoor Mumbai Pav Bhaji Masala, 15g",1
404197,"Kohinoor Punjabi Butter Chicken Masala, 15g",1
404198,"Kohinoor Punjabi Paneer Butter Masala, 15 g",1
404214,"Kohinoor Amritsari Tandoori Chicken Masala, 15g",1
404216,"Kohinoor Dilli Choley Masala, 15g",1
404221,"Kohinoor Jammu Rajma Masala, 15g",1
404345,Fine Life Chilli Powder 1 kg,1
404347,Fine Life Turmeric Powder 1 kg,1
404349,Fine Life Coriander Powder 100 g,1
404353,Fine Life Chilli Powder 500 g,1
404428,Fine Life Coriander Powder 1 kg,1
404431,Fine Life Rajma Masala 1 kg,1
404434,Fine Life Garam Masala 1 kg,1
404437,Fine Life Rasam Masala 1 kg,1
404444,Fine Life Cholle Masala 1 kg,1
404459,Fine Life Nutmeg 500 g,1
407907,"Keya Authentic Amritsari Chole Khada Masala, 125g",1
407908,Keya Awadhi Kadhai Chicken Khada Masala 100 g,1
407930,Keya Coastal Fish Fry Masala 100 g,1
407931,Keya Delhi Butter Chicken Masala 100 g,1
407941,Keya Awadhi Kadhai Veg 100 G,1
407953,"Keya Mathura Chaat Masala, 150 g",1
409258,"Kohinoor Masala Combo - Rajma 15 Gm + Pav Bhaji 15 Gm + Paneer 15 Gm + Garam Masala 40 Gm, 85 g Combo",1
410400,White Til Loose,1
410516,MTR Sambar Powder 500 g,1
410561,Cloves (Laung) Loose,1
410563,Methi Seeds  Loose,1
410564,Khus Khus  Loose,1
410571,Cinnamon Cassia Loose,1
410572,Mustard Small  Loose,1
410574,Ajwain Loose,1
410576,Saunf Big Loose,1
410577,Coriander Loose,1
410583,Black Pepper  Loose,1
410585,Jeera Loose,1
410702,Coriander Super Saver 500 g,1
410703,Jeera Super Saver 500 g,1
411239,Eastern Coriander Powder 500 g,1
411241,Eastern Chole Masala 100 g,1
411243,Eastern Cumin Powder 100 g,1
411250,"Eastern Amchur, 100 g",1
411251,Eastern Kitchen King 100 g,1
411258,Eastern Tamarind 200 g,1
411266,Eastern Dry Ginger Powder 100 g,1
411814,"Mother Ginger Garlic Paste, 700 g",1
413618,Kitchens Of India Noormahal Biriyani 250g,1
414129,Tata Sampan Chilli Powder 200g,1
414130,Tata Sampan Coriander Powder 200g,1
414135,Tata Sampan Turmeric Powder 200g,1
414686,Keya Kala Namak 200 g,1
416255,Suhana Palak Paneer 50 g Pouch,1
416270,Suhana Butter Chicken 50 g Pouch,1
