brand,product_code,In Hand
Samsonite,HC1 (0) 09 017,1
Samsonite,HC1 (0) 08 007,1
Samsonite,GE6 (0) 09 001,2
Samsonite,DX7 (0) 09 001,1
Samsonite,DA8 (0) 08 004,1
Samsonite,Z34 (0) 01 049,2
Samsonite,Z34 (0) 09 235,1
Samsonite,Z34 (0) 08 049,3
Samsonite,Z34 (0) 08 235,2
Samsonite,67Z (0) 09 002,3
SanDisk,SDSDXXY-256G-GN4IN,1
SanDisk,SDSQXA1-256G-GN6MN,1
SanDisk,SDSDXV5-128G-GNCIN,1
SanDisk,SDDDC4-128G-I35,3
SanDisk,SDCZ73-128G-I35,1
SanDisk,SDSQXCY-064G-GN6MN,1
SanDisk,SDSDXV6-064G-GNCIN,2
SanDisk,SDSDUNR-064G-GN6IN,2
SanDisk,SDCZ73-064G-I35,1
SanDisk,SDDDC4-032G-I35,1
SanDisk,SDSDUNR-032G-GN6IN,3
SanDisk,SDCZ71-032G-I35,1
SanDisk,SDSQUAR-016G-GN6MN,1
SanDisk,SDCZ48-128G-I35,2
SanDisk,SDCZ48-016G-I35,8
SanDisk,SDCZ50-064G-I35,3
SanDisk,SDCZ50-032G-I35,1
SanDisk,SDIX40N-064G-GN6NN,1
Signoraware,3488,1
Signoraware,3481,1
Signoraware,3430,1
Signoraware,4409,2
Signoraware,1723,1
Signoraware,1711,1
Signoraware,1506,1
Signoraware,1501,1
Sony,SRS-XB33,2
Sony,WF-SP800N,2
Sony,WI-XB400,5
Sony,WI-1000XM2,3
Sony,WH-CH400,13
Sony,MDR-AS410AP,1
Sony,MDR-EX15AP,2
SOUNDCORE,A3902J21,1
SUJATA,SUJ010,1
SUJATA,SUJ005,1
Swiss Gear,3555431416,1
Swiss Gear,2728640417,5
Swiss Gear,5587111408,5
Swiss Gear,5617606406,4
Swiss Gear,3576310405,4
Swiss Gear,SGW224.11,1
Swiss Gear,SGW219.11,1
SWISS MILITARY,MFF1,1
Usha,412413813C06N,5
Usha,405376040N,2
Usha,40011377502N,1
Usha,40011375338N,1
VERSACE,VER012M,1
Victorinox,249093.1,2
Victorinox,241725.1,1
Victorinox,241492,1
Victorinox,241675,2
Victorinox,241656,1
Victorinox,241682.1,1
Victorinox,241441,1
Victorinox,241719.1,2
Victorinox,241658,1
Victorinox,241681,1
Victorinox,241683.1,2
Victorinox,241677,2
Victorinox,241540,1
Victorinox,249096.1,1
Victorinox,249094.1,1
Victorinox,241712.1,1
WELSPUN,WEL004,8
Whirlpool,WH-50047,1
WILDCRAFT,12433_MCH,3
WILDCRAFT,12452,3
WILDCRAFT,12450,1
WILDCRAFT,12235,3
WILDCRAFT,12159,2
WILDCRAFT,12158,1
WILDCRAFT,12157,3
WILDCRAFT,12156,25
WILDCRAFT,11891,2
WILDCRAFT,11867,3
WILDCRAFT,11860,3
WILDCRAFT,11855,1
WILDCRAFT,11550,1
WILDCRAFT,11331,3
WILDCRAFT,11038,1
WILDCRAFT,10533,2
WILDCRAFT,10229,1
WILDCRAFT,10185,2
WILDCRAFT,10008,3
WILDCRAFT,10001,1
WONDERCHEF,63153473,1
WONDERCHEF,63153471,1
WONDERCHEF,60018305,1
WONDERCHEF,63152962,1
YVES,YVE003M,1
Zebronics,ZEB-RAGA-HP,1
